t,rd,pd,yd,r,p,y
13.458,0.0,0.0,0.0,-0.06,0.09,0.0
13.495,0.0,0.0,0.0,-0.05,0.08,0.0
13.524000000000001,0.0,0.0,0.0,-0.05,0.08,0.01
13.562,0.0,0.0,0.0,-0.04,0.07,0.01
13.598,0.0,0.0,0.0,-0.04,0.06,0.01
13.637,0.0,0.0,0.0,-0.03,0.06,0.01
13.679,0.0,0.0,0.0,-0.02,0.05,0.01
13.713,0.0,0.0,0.0,-0.02,0.04,0.01
13.748,0.0,0.0,0.0,-0.01,0.04,0.01
13.786,0.0,0.0,0.0,-0.01,0.03,0.01
13.825,0.0,0.0,0.0,0.0,0.02,0.01
13.862,0.0,0.0,0.0,0.0,0.01,0.01
13.904,0.0,0.0,0.0,0.01,0.01,0.01
13.946,0.0,0.0,0.0,0.02,-0.0,0.0
13.993,0.0,0.0,0.0,0.02,-0.01,0.0
14.035,0.0,0.0,0.0,0.03,-0.01,0.0
14.076,0.0,0.0,0.0,0.03,-0.02,0.0
14.121,0.0,0.0,0.0,0.03,-0.02,0.0
14.166,0.0,0.0,0.0,0.03,-0.03,0.0
14.206,0.0,0.0,0.0,0.04,-0.03,0.0
14.245,0.0,0.0,0.0,0.04,-0.03,0.0
14.286,0.0,0.0,0.0,0.04,-0.04,0.0
14.328,0.0,0.0,0.0,0.04,-0.04,0.0
14.381,0.0,0.0,0.0,0.04,-0.04,0.0
14.427,0.0,0.0,0.0,0.04,-0.04,0.0
14.464,0.0,0.0,0.0,0.04,-0.04,0.0
14.504,0.0,0.0,0.0,0.04,-0.04,0.0
14.554,0.0,0.0,0.0,0.03,-0.04,0.0
14.598,0.0,0.0,0.0,0.03,-0.04,0.0
14.643,0.0,0.0,0.0,0.03,-0.04,0.0
14.685,0.0,0.0,0.0,0.02,-0.03,0.0
14.722,0.0,0.0,0.0,0.02,-0.03,0.0
14.756,0.0,0.0,0.0,0.02,-0.03,0.0
14.798,0.0,0.0,0.0,0.01,-0.03,0.0
14.847,0.0,0.0,0.0,0.01,-0.02,0.0
14.893,0.0,0.0,0.0,0.0,-0.02,0.0
